,repayment_id,loan_id,repayment_amount,loan_repayment_method_id,repayment_collected_date,collector_id,repayment_backdate,repayment_adjust_remaining_schedule,repayment_adjust_remaining_schedule_pro_rata,repayment_manual_composition,principal_repayment_amount,interest_repayment_amount,fees_repayment_amount,penalty_repayment_amount,loandisk_system_date,borrower_access_ids,repayment_description,dea_cash_bank_account,branch_id,custom_field_23214,repayment_backdated_date
1960,82953340,8315004,38450,35306,01/10/2025,98635,,,,,23591.72,6080,7511.63,1266.65,01/10/2025 04:36,[70406],nan,0,55886,TJ1MH65SQ1 - 8315004,nan
1961,82955768,8702800,17000,35306,01/10/2025,80134,,,,,16412.96,0,0,587.04,01/10/2025 06:09,[70406],nan,0,55886,TJ14Y66QG6 - 8702800,nan
1962,82969779,7547782,700,35306,01/10/2025,98635,,,,,700,0,0,0,01/10/2025 08:14,[70406],nan,0,55886,TJ1R265YQP - 7547782,nan
1963,82971681,7436069,7.21,35306,01/10/2025,98635,,,,,0,0,7.21,0,01/10/2025 08:22,[39172],nan,0,55886,TJ14T67TFF - 7436069,nan
1964,82971682,8722256,14927.79,35306,01/10/2025,98635,,,,,13333.34,1594.45,0,0,01/10/2025 08:22,[39172],nan,0,55886,TJ14T67TFF - 8722256,nan
1965,82988763,8075746,70.86,35306,01/10/2025,98635,,,,,0,0,70.86,0,01/10/2025 09:37,[39172],nan,0,55886,TJ1A0653F8 - 8075746,nan
1966,82988764,9130537,69379.14,35306,01/10/2025,98635,,,,,56666.67,12712.47,0,0,01/10/2025 09:37,[39172],nan,0,55886,TJ1A0653F8 - 9130537,nan
1971,82998776,9168897,0,35306,01/10/2025,80134,0,0,0,0,0,0,0,0,07/10/2025 07:51,[70406],nan,0,55886,TJ11W69WFW - 9168897,nan
1972,83002760,8516662,20000,35306,01/10/2025,98635,,,,,19695.07,0,0,304.93,01/10/2025 14:50,[70406],nan,0,55886,TJ1D366CIV - 8516662,nan
1973,83004667,8399459,2756.31,35306,01/10/2025,98635,,,,,1256.25,0,1487.5,12.56,01/10/2025 16:32,[39172],nan,0,55886,TJ1R067PQM - 8399459,nan
1974,83004668,8678475,1719.75,35306,01/10/2025,98635,,,,,1719.75,0,0,0,01/10/2025 16:32,[39172],nan,0,55886,TJ1R067PQM - 8678475,nan
1975,83004669,9218005,523.94,35306,01/10/2025,98635,,,,,0,523.94,0,0,01/10/2025 16:32,[39172],nan,0,55886,TJ1R067PQM - 9218005,nan
1976,83018485,7786969,12139.62,35306,02/10/2025,98635,,,,,8333.33,3722.96,0,83.33,02/10/2025 04:46,[70406],nan,0,55886,TJ29466W77 - 7786969,nan
1977,83018486,8921025,7860.38,35306,02/10/2025,98635,,,,,6036.37,1600.33,0,223.68,02/10/2025 04:46,[70406],nan,0,55886,TJ29466W77 - 8921025,nan
1983,83034017,7069122,500,35307,01/10/2025,98635,,,,,0,0,0,500,02/10/2025 08:07,[70406],nan,0,55886,FT252747GY9T - 7069122,nan
1984,83034167,8315004,2000,35306,02/10/2025,98635,,,,,1741.61,0,240.97,17.42,02/10/2025 08:08,[70406],nan,0,55886,TJ2MH69XH5 - 8315004,nan
1985,83050585,9168897,0,35306,02/10/2025,80134,0,0,0,0,0,0,0,0,07/10/2025 07:53,[70406],nan,0,55886,TJ21W6DCGT - 9168897,nan
1986,83059199,8702800,3186.59,35306,02/10/2025,80134,,,,,3155.04,0,0,31.55,02/10/2025 10:08,[70406],nan,0,55886,TJ24Y6BCF7 - 8702800,nan
1987,83059216,9142811,1513.41,35306,02/10/2025,80134,,,,,0,1513.41,0,0,02/10/2025 10:08,[70406],nan,0,55886,TJ24Y6BCF7 - 9142811,nan
1988,83069863,7383581,90707.35,35306,02/10/2025,98635,,,,,80238.89,10468.46,0,0,02/10/2025 11:24,[70406],nan,0,55886,TJ2ON6BZFG - 7383581,nan
1989,83069878,9197226,50303.65,35306,02/10/2025,98635,,,,,33333.33,16970.32,0,0,02/10/2025 11:24,[70406],nan,0,55886,TJ2ON6BZFG - 9197226,nan
1991,83093303,8169807,77.75,35306,02/10/2025,98635,,,,,0,77.75,0,0,02/10/2025 13:40,[70406],nan,0,55886,TJ2D36A2B1 - 8169807,nan
1992,83093305,8516662,10922.25,35306,02/10/2025,98635,,,,,10797.57,0,16.7,107.98,02/10/2025 13:40,[70406],nan,0,55886,TJ2D36A2B1 - 8516662,nan
1993,83108846,9168897,0,35306,02/10/2025,80134,0,0,0,0,0,0,0,0,07/10/2025 07:55,[70406],nan,0,55886,TJ21W6EGSS - 9168897,nan
1994,83117500,8349261,13779.76,35306,02/10/2025,98635,,,,,5500,5280,2999.76,0,02/10/2025 16:52,[70406],nan,0,55886,TJ2MH6BWBH - 8349261,nan
1995,83117505,8349275,2875.24,35306,02/10/2025,98635,,,,,2296,459,120.24,0,02/10/2025 16:52,[70406],nan,0,55886,TJ2MH6BWBH - 8349275,nan
1996,83118635,8921025,6517,35306,02/10/2025,98635,,,,,3546.96,2970.04,0,0,02/10/2025 17:06,[70406],nan,0,55886,TJ29469C47 - 8921025,nan
1997,83129030,8613475,40000,35306,03/10/2025,98635,,,,,0,37000,3000,0,03/10/2025 05:22,[39172],nan,0,55886,TJ3EH6ER42 - 8613475,nan
1998,83171743,9125539,131100,35306,03/10/2025,98635,,,,,114000,17100,0,0,03/10/2025 10:40,[39172],nan,0,55886,TJ3E86FKCS - 9125539,nan
1999,83183464,9142832,32566.67,35306,03/10/2025,80134,,,,,15000,14400,3166.67,0,03/10/2025 12:49,[70406],nan,0,55886,TJ30V6EXR3 - 9142832,nan
2000,83183478,9142865,4444.33,35306,03/10/2025,80134,,,,,3620,724,100.33,0,03/10/2025 12:49,[70406],nan,0,55886,TJ30V6EXR3 - 9142865,nan
2001,83244019,7547782,3975.45,35306,04/10/2025,98635,,,,,3975.45,0,0,0,04/10/2025 09:47,[70406],nan,0,55886,TJ4R26GZLV - 7547782,nan
2002,83244020,8729537,6724.55,35306,04/10/2025,98635,,,,,2939.21,3718.67,0,66.67,04/10/2025 09:47,[70406],nan,0,55886,TJ4R26GZLV - 8729537,nan
2004,83261293,9151390,116000,35306,06/10/2025,80134,,,,,90200,22800,3000,0,05/10/2025 21:51,[70406],nan,0,55886,TJ6HD6OH5X - 9151390,nan
2005,83261390,7856827,10,35306,06/10/2025,98635,,,,,0,0,10,0,05/10/2025 23:42,[70406],nan,0,55886,TJ60I6MA48 - 7856827,nan
2006,83261391,7989750,25800,35306,06/10/2025,98635,,,,,15000,10800,0,0,05/10/2025 23:42,[70406],nan,0,55886,TJ60I6MA48 - 7989750,nan
2007,83263305,9151390,4800,35306,06/10/2025,80134,,,,,4800,0,0,0,06/10/2025 02:17,[70406],nan,0,55886,TJ6HD6OOP4 - 9151390,nan
2008,83328862,7774915,12713,35306,06/10/2025,98635,,,,,4125.5,5080,2999.48,508.02,06/10/2025 09:29,[39172],nan,0,55886,TJ6FH6POCZ - 7774915,nan
2009,83328872,7780252,5547,35306,06/10/2025,98635,,,,,4584,917,46,0,06/10/2025 09:29,[39172],nan,0,55886,TJ6FH6POCZ - 7780252,nan
2010,83372440,9238797,100000,35306,06/10/2025,80134,,,,,77500,22500,0,0,06/10/2025 13:31,[70406],nan,0,55886,TJ6J86NTIR - 9238797,nan
2011,83380258,9026906,22000,35306,06/10/2025,29649,,,,,11073.61,7973,1718.17,1235.22,06/10/2025 14:12,[70406],nan,0,55886,TJ69D6PTNS - 9026906,nan
2012,83397280,8399459,0,35306,06/10/2025,98635,0,0,0,0,0,0,0,0,07/10/2025 07:48,[39172],nan,0,55886,TJ6R06PUXY - 8399459,nan
2013,83397281,9218005,15000,35306,06/10/2025,98635,0,0,0,0,446.59,14553.41,0,0,07/10/2025 07:49,[39172],nan,0,55886,TJ6R06PUXY - 9218005,nan
2014,83414401,8836327,25800,35306,07/10/2025,98635,,,,,12500,6000,3000,4300,07/10/2025 05:06,[70406],nan,0,55886,TJ7KZ6S3AE - 8836327,nan
2015,83414402,8836336,9410,35306,07/10/2025,98635,,,,,7525,1770,115,0,07/10/2025 05:06,[70406],nan,0,55886,TJ7KZ6S3AE - 8836336,nan
2016,83414532,8908919,209667,35307,02/10/2025,98635,,,,,166666.67,37848,1818.99,3333.34,07/10/2025 05:13,[39172],nan,0,55886,FT25275PXSLQ - 8908919,nan
2017,83414558,7069122,5000,35307,01/10/2025,98635,,,,,3260,0,0,1740,07/10/2025 05:14,[70406],nan,0,55886,FT252748SL71 - 7069122,nan
2018,83414572,9148596,49334,35307,03/10/2025,98635,,,,,33333.33,16000.67,0,0,07/10/2025 05:15,[70406],nan,0,55886,FT25277663HY - 9148596,nan
2019,83420726,8399459,0,35306,07/10/2025,98635,0,0,0,0,0,0,0,0,07/10/2025 07:50,[39172],nan,0,55886,TJ7R06Q8NA - 8399459,nan
2020,83427332,9218005,100,35306,07/10/2025,98635,0,0,0,0,100,0,0,0,07/10/2025 07:50,[39172],nan,0,55886,TJ7R06Q8NA - 8399459-1,nan
2021,83427541,9103690,15000,35306,01/10/2025,80134,0,0,0,0,6066,4800,3000,1134,07/10/2025 07:52,[39172],nan,0,55886,TJ11W69WFW - 9168897-1,nan
2022,83427568,9103690,15000,35306,02/10/2025,80134,0,0,0,0,14760.66,0,0,239.34,07/10/2025 07:53,[39172],nan,0,55886,TJ21W6DCGT - 9168897-1,nan
2023,83427714,9103690,10000,35306,02/10/2025,80134,0,0,0,0,9173.34,0,826.66,0,07/10/2025 07:55,[39172],nan,0,55886,TJ21W6EGSS - 9168897-1,nan
2025,83462534,8789972,20500,35306,07/10/2025,98635,,,,,12500,5000,3000,0,07/10/2025 10:07,[39172],nan,0,55886,TJ7D96QC3B - 8789972,nan
2026,83474486,9142811,30000,35306,07/10/2025,80134,,,,,20713.93,7486.59,0,1799.48,07/10/2025 11:27,[70406],nan,0,55886,TJ74Y6S4AZ - 9142811,nan
2027,83492143,9026906,22047,35306,07/10/2025,29649,,,,,11073.61,7973,3000.39,0,07/10/2025 13:49,[70406],nan,0,55886,TJ79D6SR75 - 9026906,nan
2028,83492145,9026912,4733,35306,07/10/2025,29649,,,,,3861,772,100,0,07/10/2025 13:49,[70406],nan,0,55886,TJ79D6SR75 - 9026912,nan
2029,83512631,7774915,3200,35306,07/10/2025,98635,,,,,3156.59,0,0,43.41,07/10/2025 17:53,[39172],nan,0,55886,TJ7FH6UN45 - 7774915,nan
2030,83531434,8374302,25100,35307,06/10/2025,98635,,,,,17940,7160,0,0,08/10/2025 07:39,[70406],nan,0,55886,FT25279FN8V6 - 8374302,nan
2031,83532487,7500384,20399,35307,07/10/2025,98635,,,,,10000,7200,3199,0,08/10/2025 07:41,[70406],nan,0,55886,FT252803MPW2 - 7500384,nan
2032,83532501,7500550,3601,35307,07/10/2025,98635,,,,,2814,321,0,466,08/10/2025 07:41,[70406],nan,0,55886,FT252803MPW2 - 7500550,nan
2033,83533520,8757409,23420,35307,06/10/2025,98635,,,,,10416.67,10000,3003.33,0,08/10/2025 07:43,[39172],nan,0,55886,FT25279FJTKJ - 8757409,nan
2034,83589701,9171926,12000,35306,08/10/2025,29649,,,,,0,9000,3000,0,08/10/2025 14:12,[39172],nan,0,55886,TJ8486W5IC - 9171926,nan
2035,83602615,7774915,1200,35306,08/10/2025,98635,,,,,1184.58,0,3.57,11.85,08/10/2025 15:27,[39172],nan,0,55886,TJ8FH6X0CC - 7774915,nan
2036,83608403,7338838,25000,35306,08/10/2025,98635,,,,,12783.67,9600,2616.33,0,08/10/2025 18:49,[70406],nan,0,55886,TJ8N16VUPD - 7338838,nan
2037,83616544,8988964,41000,35306,09/10/2025,98635,,,,,26960,14040,0,0,09/10/2025 05:51,[70406],nan,0,55886,TJ9PI6U7IE - 8988964,nan
2038,83618643,7069122,20000,35307,07/10/2025,98635,,,,,6526.11,0,0,13473.89,09/10/2025 06:21,[70406],nan,0,55886,FT252808H4B2 - 7069122,nan
2039,83619207,9171926,1867,35306,09/10/2025,29649,,,,,0,1314.9,0,552.1,09/10/2025 06:32,[39172],nan,0,55886,TJ9486YCCO - 9171926,nan
2040,83619208,9171947,8133,35306,09/10/2025,29649,,,,,6694,1339,100,0,09/10/2025 06:32,[39172],nan,0,55886,TJ9486YCCO - 9171947,nan
2041,83625166,8953802,800,35307,08/10/2025,98635,,,,,0,0,0,800,09/10/2025 07:30,[39172],nan,0,55886,FT25281FL725 - 8953802,nan
2042,83625212,8953802,38179,35307,08/10/2025,98635,,,,,25583.33,12261.94,0,333.73,09/10/2025 07:31,[39172],nan,0,55886,FT25281F3QQ6 - 8953802,nan
2043,83627085,8765825,10000,35307,08/10/2025,98635,,,,,7334,2666,0,0,09/10/2025 07:38,[39172],nan,0,55886,FT25281RSRJH - 8765825,nan
2044,83636583,8190416,119890,35307,08/10/2025,98635,,,,,59637.5,57252,3000.5,0,09/10/2025 08:10,[39172],nan,0,55886,FT25281Z9CSB - 8190416,nan
2045,83652461,8169807,11067.25,35306,09/10/2025,98635,,,,,9500,1567.25,0,0,09/10/2025 09:18,[70406],nan,0,55886,TJ9D36W4W4 - 8169807,nan
2046,83652462,8516662,432.75,35306,09/10/2025,98635,,,,,0,0,432.75,0,09/10/2025 09:18,[70406],nan,0,55886,TJ9D36W4W4 - 8516662,nan
2047,83749092,9168897,35000,35306,10/10/2025,80134,,,,,8514.68,20800,3000,2685.32,10/10/2025 06:20,[70406],nan,0,55886,TJA9M6Z4MF - 9168897,nan
2048,83749611,9168897,30000,35306,10/10/2025,80134,,,,,30000,0,0,0,10/10/2025 06:38,[70406],nan,0,55886,TJAIV6YRAX - 9168897,nan
2049,83836847,9168897,4818.65,35306,10/10/2025,80134,,,,,4818.65,0,0,0,10/10/2025 15:48,[70406],nan,0,55886,TJA9M70RQU - 9168897,nan
2050,83836848,9168910,2743.35,35306,10/10/2025,80134,,,,,1755.35,888,100,0,10/10/2025 15:48,[70406],nan,0,55886,TJA9M70RQU - 9168910,nan
2051,83843632,8584659,40075,35306,11/10/2025,98635,,,,,24830,12000,2995,250,11/10/2025 05:58,[39172],nan,0,55886,TJBFA74RLN - 8584659,nan
2052,83843633,8584660,4925,35306,11/10/2025,98635,,,,,4021,804,100,0,11/10/2025 05:58,[39172],nan,0,55886,TJBFA74RLN - 8584660,nan
2053,83871173,8399459,106.25,35306,12/10/2025,98635,,,,,0,0,0,106.25,12/10/2025 19:50,[39172],nan,0,55886,TJCR078PJ2 - 8399459,nan
2054,83871174,9247556,4893.75,35306,12/10/2025,98635,,,,,0,4893.75,0,0,12/10/2025 19:50,[39172],nan,0,55886,TJCR078PJ2 - 9247556,nan
2055,83884651,7892155,37000,35307,09/10/2025,98635,,,,,22950,11016,3034,0,13/10/2025 7:38am,[39172],nan,0,55886,FT25282L7NTH  - 7892155,nan
2056,83884717,8027643,20000,35307,09/10/2025,98635,,,,,18028,1872,100,0,13/10/2025 7:39am,[70406],nan,0,55886,FT25282NWWMW - 8027643,nan
2057,83885060,7654893,10000,35307,10/10/2025,98635,,,,,0,5195.92,4637.41,166.67,13/10/2025 7:44am,[70406],nan,0,55886,FT25284YW1XK - 7654893,nan
2058,83914873,7338838,549.66,35306,13/10/2025,98635,,,,,549.66,0,0,0,13/10/2025 10:16am,[70406],nan,0,55886,TJDN179Y1V - 7338838,nan
2059,83914884,8810736,450.34,35306,13/10/2025,98635,,,,,0,450.34,0,0,13/10/2025 10:16am,[70406],nan,0,55886,TJDN179Y1V - 8810736,nan
2060,83923042,7684297,64666.67,35306,13/10/2025,98635,,,,,41666.67,20000,3000,0,13/10/2025 10:43am,[70406],nan,0,55886,TJD7177T5M - 7684297,nan
2061,83923053,7684377,6686.33,35306,13/10/2025,98635,,,,,5488,1098,100.33,0,13/10/2025 10:43am,[70406],nan,0,55886,TJD7177T5M - 7684377,nan
2062,83946088,8702960,1656.77,35306,13/10/2025,80134,,,,,0,1556.77,100,0,13/10/2025 11:59am,[70406],nan,0,55886,TJD4Y7B7FP - 8702960,nan
